Price,Seqno,Symbol,time
1623.0,0.0,APPL,1473411962
1623.0,0.0,APPL,1473411962
1623.0,0.0,APPL,1473411963
1623.0,0.0,APPL,1473411963
1649.0,1.0,APPL,1473411963
1649.0,1.0,APPL,1473411963
1649.0,1.0,APPL,1473411964
1649.0,1.0,APPL,1473411964
1642.0,2.0,APPL,1473411964
1642.0,2.0,APPL,1473411964
1642.0,2.0,APPL,1473411965
1642.0,2.0,APPL,1473411965
1636.0,3.0,APPL,1473411965
1636.0,3.0,APPL,1473411965
1636.0,3.0,APPL,1473411966
1636.0,3.0,APPL,1473411966
1669.0,4.0,APPL,1473411966
1669.0,4.0,APPL,1473411966
1669.0,4.0,APPL,1473411967
1669.0,4.0,APPL,1473411967
1639.0,5.0,APPL,1473411967
1639.0,5.0,APPL,1473411967
1639.0,5.0,APPL,1473411968
1639.0,5.0,APPL,1473411968
1611.0,6.0,APPL,1473411968
1611.0,6.0,APPL,1473411968
1611.0,6.0,APPL,1473411969
1611.0,6.0,APPL,1473411969
1660.0,7.0,APPL,1473411969
1660.0,7.0,APPL,1473411969
1660.0,7.0,APPL,1473411969
1660.0,7.0,APPL,1473411970
1657.0,8.0,APPL,1473411970
1657.0,8.0,APPL,1473411970
1657.0,8.0,APPL,1473411971
1657.0,8.0,APPL,1473411971
1509.0,9.0,APPL,1473411971
1509.0,9.0,APPL,1473411971
1509.0,9.0,APPL,1473411972
1509.0,9.0,APPL,1473411972
1514.0,10.0,APPL,1473411972
1514.0,10.0,APPL,1473411972
1514.0,10.0,APPL,1473411972
1514.0,10.0,APPL,1473411973
1676.0,11.0,APPL,1473411973
1676.0,11.0,APPL,1473411973
1676.0,11.0,APPL,1473411974
1676.0,11.0,APPL,1473411974
1596.0,12.0,APPL,1473411974
1596.0,12.0,APPL,1473411974
1596.0,12.0,APPL,1473411974
1596.0,12.0,APPL,1473411975
1527.0,13.0,APPL,1473411975
1527.0,13.0,APPL,1473411975
1527.0,13.0,APPL,1473411975
1527.0,13.0,APPL,1473411975
1643.0,14.0,APPL,1473411976
1643.0,14.0,APPL,1473411976
1643.0,14.0,APPL,1473411976
1643.0,14.0,APPL,1473411976
1632.0,15.0,APPL,1473411977
1632.0,15.0,APPL,1473411977
1632.0,15.0,APPL,1473411977
1632.0,15.0,APPL,1473411977
1595.0,16.0,APPL,1473411978
1595.0,16.0,APPL,1473411978
1595.0,16.0,APPL,1473411978
1595.0,16.0,APPL,1473411979
1565.0,17.0,APPL,1473411979
1565.0,17.0,APPL,1473411979
1565.0,17.0,APPL,1473411979
1565.0,17.0,APPL,1473411979
1521.0,18.0,APPL,1473411980
1521.0,18.0,APPL,1473411980
1521.0,18.0,APPL,1473411980
1521.0,18.0,APPL,1473411980
1501.0,19.0,APPL,1473411981
1501.0,19.0,APPL,1473411981
1501.0,19.0,APPL,1473411982
1501.0,19.0,APPL,1473411982
1579.0,20.0,APPL,1473411982
1579.0,20.0,APPL,1473411982
1579.0,20.0,APPL,1473411982
1579.0,20.0,APPL,1473411983
1511.0,21.0,APPL,1473411983
1511.0,21.0,APPL,1473411983
1511.0,21.0,APPL,1473411983
1511.0,21.0,APPL,1473411983
1513.0,22.0,APPL,1473411984
1513.0,22.0,APPL,1473411984
1513.0,22.0,APPL,1473411984
1513.0,22.0,APPL,1473411985
1687.0,23.0,APPL,1473411985
1687.0,23.0,APPL,1473411985
1687.0,23.0,APPL,1473411985
1687.0,23.0,APPL,1473411986
